species,sal_adapt,sal_exp,time,repl,id,m63_cor_n_m,m64_n_m,m65_n_m,conc_n_m,mp64_rt,d3_p_in_fraction_n_m_m66,d3_p_taken_up,up_dmspp,d3_p_lost_demethylated,x12c_dic_18,x13c_dic_19,x13c_sample_20,x13c_added,p_12c,q_13c,probability_13c_dms,rm,u_dmsp_h_1,vol_filtered_m_l,x12c_dic_29,x13c_dic_30,x13c_sample_31,x12c_poc_mg,x13c_poc_mg,x13_12c_poc,u_poc_h_1,total_poc_mg_l,dmsp_c_poc_mol_mol,dms_puptake_c_poc_mol_mol,dmsp_uptake_of_total_dmsp,u_dmsp_u_poc,yield,cell_dens_avr,cell_size_avr,salinity,diff_sal
Chryso,25,25,24,A,DMS,19.33923495060076,0.5701115185295228,0.5481376284232202,20.4574840975535,2.786811495543101,7.5829603720911285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0010796095338412477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chryso,25,25,24,B,DMS,41.94694609518622,1.1525120147055383,1.085066177259514,44.18452428715127,2.6084065253604765,22.549486812793447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2081153164404107e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chryso,25,25,24,C,DMS,15.703862428784467,0.6710925300926548,0.3661994666834846,16.741154425560605,4.0086395061742115,8.615652347238507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00670824250304933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chryso,25,25,24,A,DMS(P)t,1175.1774398247271,69.40145825089411,51.373690532627535,1295.9525886082488,5.3552467012258385,87.43444061147271,54.14940637625051,NA,34.3762000591646,10861.76805,1209.65612793,10.020823641849946,8.920823641849946,0.9107917635815006,0.08920823641849945,16.25002539472011,14.44683016800755,0.01206901336640885,NA,10861.76805,1209.65612793,10.020823641849946,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.611,164666.66666666666,5.359999999999999,23.4,1.6000000000000014
Chryso,25,25,24,B,DMS(P)t,1099.185000624748,69.09017872520269,49.26021793798101,1217.5353972879316,5.67459302449042,86.76522552703318,42.06961680512671,NA,23.213143480423724,11289.922849999999,1218.901306155,9.744331608940529,8.64433160894053,0.9135566839105947,0.0864433160894053,15.794173838574494,14.111645200253419,0.01411228564486758,NA,11289.922849999999,1218.901306155,9.744331608940529,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,170000,5.484999999999999,23.9,1.1000000000000014
Chryso,25,25,24,C,DMS(P)t,1685.1980589554366,102.44853781218916,74.8830605176246,1862.5296572852506,5.500505047608964,98.86152147871123,59.68144949175191,NA,24.25470774009271,11149.327150000001,1104.69708252,9.014973869468369,7.914973869468369,0.9208502613053163,0.0791497386946837,14.577011511849397,13.216672901190847,0.014515074017426507,NA,11149.327150000001,1104.69708252,9.014973869468369,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595,262166.6666666667,5.18,23.7,1.3000000000000007
Chryso,25,25,24,A,DMSPd,8.79435116955211,0.43773214243911224,0.2199276441686431,9.452010956159866,4.631100667036813,0.7933469300558489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008684209958437982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chryso,25,25,24,B,DMSPd,40.21493142351202,2.309711109573972,1.8571130542302279,44.38175558731622,5.204190503527671,2.7940981787547376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011715998712293963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chryso,25,25,24,C,DMSPd,54.45707975259469,3.2520464721298414,2.4757895038194113,60.18491572854394,5.403424483964993,3.1109528735149246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013962859990119196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.914938276735699,NA,NA,NA,NA,NA,NA
Chryso,25,25,24,A,DMSPp,1274.5544000724542,75.51834290480599,58.85912461742242,1408.9318675946824,5.35997124074781,85.09739850459377,58.28588938670806,5.695832098843181,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012091971017278543,30,NA,NA,NA,0.15626372319915874,0.0061812428190298144,3.80513042080831,0.015051434756585021,5.414832200606286,1.561191721623722,0.09429366822676309,5.695832098843181,0.8033766357049976,NA,NA,NA,NA,NA
Chryso,25,25,24,B,DMSPp,918.4780378109076,58.53139395706097,42.93249079553781,1019.9419225635064,5.738698710407849,54.66726343655245,37.44333112092634,5.087176263589976,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014449150417230642,30,NA,NA,NA,0.14994669139841482,0.005490134564078596,3.5320681119693957,0.013762476804914221,5.181227532083113,1.1811200140289209,0.06330615256486155,5.087176263589976,1.049894624496023,NA,NA,NA,NA,NA
