species,sal_adapt,sal_exp,time,repl,id,m63_cor_n_m,m64_n_m,m65_n_m,conc_n_m,mp64_rt,d3_p_in_fraction_n_m_m66,d3_p_taken_up,up_dmspp,d3_p_lost_demethylated,x12c_dic_18,x13c_dic_19,x13c_sample_20,x13c_added,p_12c,q_13c,probability_13c_dms,rm,u_dmsp_h_1,vol_filtered_m_l,x12c_dic_29,x13c_dic_30,x13c_sample_31,x12c_poc_mg,x13c_poc_mg,x13_12c_poc,u_poc_h_1,total_poc_mg_l,dmsp_c_poc_mol_mol,dms_puptake_c_poc_mol_mol,dmsp_uptake_of_total_dmsp,u_dmsp_u_poc,yield,cell_dens_avr,number_of_cells,dmsp_content_per_cell_m_m,cell_size_avr,salinity,diff_sal
Polarella,25,25,24,B,DMS,1.0808300678616325,0.06949096324590696,-0.32463951476756747,0.8256815163399719,8.416194606601108,7.591708756227927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022567228366878883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polarella,25,25,24,C,DMS,1.1006049537644842,0.013529654660465056,-0.27861566397818455,0.8355189444467648,1.6193115369064024,6.216970403830971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0031908465149256536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polarella,25,25,24,A,DMS(P)t,409.1083139300652,26.748314822941683,18.946295416449747,454.8029241694566,5.881297898818134,63.26203456777326,38.79250810213974,NA,52.13218677642294,11112.8148,1424.37723795667,11.361214166970814,10.261214166970815,0.8973878583302919,0.10261214166970815,18.416578010332778,16.21361524400465,0.011946639392172453,NA,11112.8148,1424.37723795667,11.361214166970814,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.587,31500,3150000,0.22754051632904038,8.643333333333333,23.6,1.3999999999999986
Polarella,25,25,24,B,DMS(P)t,520.5329993049176,33.74961675715565,23.192663621563305,577.4752796836365,5.844339653057531,94.21967018289749,55.7351694336618,NA,26.6671280872269,10584.578100000001,1452.331604005,12.065651730541523,10.965651730541524,0.8903434826945847,0.10965651730541523,19.526393103572477,17.029655753739725,0.01102755486456885,NA,10584.5781,1452.331604005,12.065651730541523,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623,39100,3910000,0.1475802642953015,10.158333333333333,23.9,1.1000000000000014
Polarella,25,25,24,C,DMS(P)t,547.3490605910142,37.005231805710224,24.937957669257898,609.2922500659823,6.073478171058765,93.04220589749818,56.02967561986409,NA,28.574599047948784,10693.82375,1430.6373901349998,11.799595657074047,10.699595657074047,0.8930040434292595,0.10699595657074047,19.10956436965054,16.723164037620656,0.012241845778578451,NA,10693.82375,1430.6373901349998,11.799595657074047,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615,40416.666666666664,4041666.6666666665,0.15062502340651082,9.368333333333332,23.8,1.1999999999999993
Polarella,25,25,24,A,DMSPd,3.0419417804296147,0.19456382304127098,0.21165897881590323,3.4481645822867892,5.642532959150057,0.4500293689024549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010937625514750153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polarella,25,25,24,B,DMSPd,40.01336635768372,2.657752327440218,2.0701215609280155,44.74124024605196,5.940274147127029,5.254614053523325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011407998458078663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polarella,25,25,24,C,DMSPd,50.18300771155736,3.322514540656132,2.3350289310637233,55.84055118327721,5.9500031254188945,5.021909088665631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011732712550041885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polarella,25,25,24,A,DMSPp,643.8194288253187,41.428787407004926,31.50441020415345,716.7526264364772,5.780067749870546,87.26965174781249,59.773734073844174,10.854133537803468,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011516025623223647,30,NA,NA,NA,0.15993076863157485,0.0034559249089599034,2.1151813737527654,0.00439168985462255,5.4462231180178255,0.7896326803783339,0.0961433087004059,10.854133537803468,2.6222310783404374,NA,NA,NA,NA,NA,NA,NA
Polarella,25,25,24,B,DMSPp,518.7354464919725,33.17605662868046,25.127330273975744,577.0388333946288,5.749362903967993,83.39419371060464,57.119310760688116,12.627199169025902,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010654110154573009,30,NA,NA,NA,0.1478351911355183,0.003181312924772643,2.1065995035235052,0.004059636755695056,5.033883468676365,0.6877856871164622,0.0993994329382433,12.627199169025902,2.624399865240875,NA,NA,NA,NA,NA,NA,NA
